Country,Year,Technology or Sector,Topic,Indicator,Indicator Categories,Unit,Value,Number of observations,updated_at
Romania,2014,Non-energy,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-9.372879981994629,120911,1659539394367
Germany,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by firm size,Small,Percent,-12.902299880981445,2417,1659539394367
Malta,2014,Non-energy,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-1.1324399709701538,2657,1659539394367
Greece,2010,Non-energy,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-0.7486631870269775,6839,1659539394367
United States,2018,Total,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,4.598010063171387,18841,1659539394367
France,2018,Non-energy,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-8.31617259979248,18063,1659539394367
Denmark,2018,Non-energy,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-10.984160423278809,166822,1659539394367
Slovenia,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills,,Percent,-12.694660186767578,5418,1659539394367
Portugal,2018,Energy,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-19.347810745239258,1107,1659539394367
Sweden,2018,Energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-3.606627941131592,4678,1659539394367
Spain,2014,Non-energy,Employment,Gender employment gap by education level,Tertiary education,Percent,31.689929962158203,33953,1659539394367
Bulgaria,2018,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-22.330209732055664,1260,1659539394367
Czech Republic,2010,Important energy consumers,Employment,Gender employment gap by firm size,Medium,Percent,-73.21063232421875,4671,1659539394367
Latvia,2018,Energy generation and distribution,Employment,Gender wage gap conditional on skills,,Percent,-20.880430221557617,2825,1659539394367
Latvia,2018,Energy,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-9.00876235961914,1644,1659539394367
Latvia,2010,Important energy consumers,Employment,Gender employment gap by education level,Upper secondary education,Percent,-76.04252624511719,2753,1659539394367
France,2014,Non-energy,Employment,Gender employment gap by contract type,Permanent contract,Percent,15.584349632263184,88159,1659539394367
Hungary,2014,Energy generation and distribution,Employment,Gender employment gap by education level,Tertiary education,Percent,-58.22663116455078,747,1659539394367
Italy,2010,Non-energy,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-14.809269905090332,22027,1659539394367
Canada,2014,Non-energy,Employment,Gender wage gap,,Percent,-10.909239768981934,267252,1659539394367
Norway,2014,Non-energy,Employment,Gender wage gap by firm size,Medium,Percent,-13.902159690856934,113122,1659539394367
Estonia,2014,Non-energy,Employment,Gender employment gap by firm size,Small,Percent,23.618209838867188,17589,1659539394367
Spain,2018,Energy,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-2.5767769813537598,2577,1659539394367
Germany,2014,Important energy consumers,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-17.245290756225586,5942,1659539394367
Canada,2014,Total,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-21.4903507232666,40327,1659539394367
Luxembourg,2018,Energy,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-0.26829880475997925,149,1659539394367
Germany,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-31.424800872802734,586,1659539394367
Finland,2014,Non-energy,Employment,Gender wage gap by firm size,Small,Percent,-14.93770980834961,14589,1659539394367
Lithuania,2018,Energy generation and distribution,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-0.4632526934146881,392,1659539394367
Norway,2014,Non-energy,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-10.834859848022461,58276,1659539394367
Portugal,2010,Total,Employment,Gender wage gap conditional on skills,,Percent,-23.86096954345703,52977,1659539394367
Norway,2010,Total,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-25.83131980895996,127107,1659539394367
Finland,2014,Energy generation and distribution,Employment,Gender wage gap by education level,Upper secondary education,Percent,-17.44610023498535,639,1659539394367
Finland,2018,Total,Employment,Gender gap in hours worked by firm size,Small,Percent,-8.909785270690918,11264,1659539394367
Netherlands,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-16.772119522094727,215,1659539394367
Hungary,2010,Non-energy,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,2.7544660568237305,135838,1659539394367
Italy,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-13.43082046508789,715,1659539394367
Belgium,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-3.216187000274658,138,1659539394367
Portugal,2010,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-18.587589263916016,507,1659539394367
Bulgaria,2010,Total,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-1.1408250331878662,52114,1659539394367
United Kingdom,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-34.78322982788086,102,1659539394367
Cyprus,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-97.44786071777344,13,1659539394367
Sweden,2010,Energy,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-11.87283992767334,858,1659539394367
Estonia,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-32.553619384765625,516,1659539394367
Hungary,2010,Total,Employment,Gender employment gap by firm size,Large,Percent,-5.362666130065918,117641,1659539394367
Canada,2014,Energy generation and distribution,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-33.0289192199707,5956,1659539394367
Norway,2018,Total,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-5.428847789764404,544702,1659539394367
United States,2014,Total,Employment,Gender wage gap,,Percent,-15.944709777832031,71900,1659539394367
Bulgaria,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-2.173435926437378,733,1659539394367
